X,Y,dapi,gfp,rfp
44.50847458,335.9152542,11786.44068,2354.322034,6623.711864
44.63888889,583.25,9692,2482.444444,5077.722222
44.46666667,667.7666667,9087.333333,2506.2,5584.1
43.20833333,688.875,8488.791667,2647.083333,4526.958333
46.56410256,241.2564103,15414.61538,3456.461538,7124.461538
45.22857143,328.5428571,10647.57143,3696.685714,7302.742857
45,356,11087.22222,1745.666667,7315.333333
44.41666667,485.25,9895.104167,1129.270833,6363.5625
45.45833333,613.1041667,10546.625,1980.416667,5992.208333
45.66666667,140.7575758,9755.378788,1192.272727,6537.287879
45.73134328,268.8208955,12571.65672,2551.58209,6246.014925
46.26470588,496.1764706,9669.941176,1282.338235,5779.029412
45.82142857,600.4285714,9273.892857,4399.321429,6272.214286
46.09677419,629.4516129,9290.516129,2099.258065,5910.387097
47.21311475,3.573770492,11495.45902,1409,6939.737705
49.42857143,234.0793651,14382.65079,3414.222222,7823.285714
47.12903226,290.2903226,11425.6129,6223.258065,6614.516129
47.20833333,477.5416667,8871.625,1271.791667,9911.625
47.32142857,515.8928571,11640.17857,1377.928571,4712.821429
46.4,549.2,8491.6,1635,9088.333333
49,206.875,12697.95833,2226.541667,6619.416667
47.64705882,258,12871.13235,2186.617647,6409.705882
47.5,587.8125,10841.4375,2324.6875,5429.3125
48.18867925,213.9245283,15177.20755,3489.735849,7032.320755
50.57024793,358.3305785,12713.27273,2674.677686,6540.735537
48.5,637.3076923,10435.53846,1458.384615,6034.307692
49.45833333,684.375,8743.833333,2397.708333,5446.75
49.66666667,226.5,11877.5,1668,7870.5
50.11363636,423.75,9624.590909,2832.863636,4915.5
50.72222222,589.3333333,10865.94444,2434.166667,5656.5
49.95384615,653.3230769,9477.769231,2948.815385,4616.384615
49.42424242,697.1515152,10513.18182,2672.787879,4798.454545
51.0625,176.75,8532.625,1901.1875,4229.9375
52.36538462,218.7115385,15773.59615,4116.903846,6856.480769
50.47368421,247.1578947,13750.7193,3118.368421,6607.77193
49.17073171,370.3658537,12980.85366,2645.634146,6329.02439
51.4,594.7333333,9170.733333,1479.133333,6667
51,708.8333333,10974.08333,1915.104167,5342.729167
52.7,272.7,9947.4,1362.7,9059.4
51.71666667,281.05,12230.63333,2545.183333,5751.6
51.51219512,406.9349593,11945.44715,1656.699187,5706.764228
52,452.3076923,9444.25641,1361.538462,5069.923077
51.33333333,619.0833333,9872.055556,2750.361111,5812.944444
51.125,672.125,10027,1812.375,5216.1875
53.76,23.06,9575.74,1279.1,4782.34
53.5625,184.5625,9723.604167,6108.291667,4897.854167
53.22222222,332.308642,13081.19753,1792.395062,6683.530864
52.66666667,369,13128.44444,2993.555556,6357.444444
52.78461538,396.6307692,14456.50769,1874.907692,6571
53.43243243,431.9459459,9464.864865,1293.162162,4945.837838
53.14414414,606.7117117,10790,2818.423423,5558.684685
53.5483871,624.2258065,10645.6129,2206.451613,6021.935484
